工业气体，单质 【0101】
用于工业、科学、农业、园艺、林业的工业化工原料 【0102】
放射性元素及其化学品 【0103】
用于工业、科学的化学品、化学制剂，不属于其他类别的产品用的化学制品 【0104】
用于农业、园艺、林业的化学品、化学制剂 【0105】
化学试剂 【0106】
摄影用化学用品及材料 【0107】
未加工的人造合成树脂，未加工塑料物质（不包括未加工的天然树脂） 【0108】
肥料 【0109】
灭火、防火用合成物 【0110】
淬火用化学制剂 【0111】
焊接用化学制剂 【0112】
食药用化学品（不包括食品用防腐盐） 【0113】
鞣料及皮革用化学品 【0114】
工业用粘合剂和胶（不包括纸用粘合剂） 【0115】
纸浆 【0116】
能源 【0117】
染料，媒染剂（不包括食用） 【0201】
颜料（不包括食用、绝缘用），画家、装饰家、印刷商和艺术家用金属箔及金属粉 【0202】
食品着色剂 【0203】
油墨 【0204】
涂料，油漆及附料（不包括绝缘漆） 【0205】
防锈剂，木材防腐剂 【0206】
未加工的天然树脂 【0207】
肥皂，香皂及其他人用洗洁物品，洗衣用漂白剂及其他物料 【0301】
清洁、去渍用制剂 【0302】
抛光、擦亮制剂 【0303】
研磨用材料及其制剂 【0304】
香料，香精 【0305】
化妆品（不包括动物用化妆品） 【0306】
牙膏，洗牙用制剂 【0307】
熏料 【0308】
动物用化妆品 【0309】
室内芳香剂 【0310】
工业用油及油脂，润滑油，润滑剂（不包括燃料用油） 【0401】
液体、气体燃料和照明燃料 【0402】
固体燃料 【0403】
工业用蜡 【0404】
照明用蜡烛和灯芯 【0405】
吸收、润湿和粘结灰尘用合成物 【0406】
能源 【0407】
药品，消毒剂，中药药材，药酒 【0501】
医用营养品，人用膳食补充剂，婴儿食品 【0502】
净化制剂 【0503】
兽药，动物用膳食补充剂 【0504】
杀虫剂，除莠剂，农药 【0505】
卫生用品，绷敷材料，医用保健袋 【0506】
填塞牙孔用料，牙科用蜡 【0507】
单一商品 【0508】
普通金属及其合金、板、各种型材（不包括焊接及铁路用金属材料） 【0601】
普通金属管及其配件 【0602】
金属建筑材料，可移动金属建筑物（不包括建筑小五金） 【0603】
铁路用金属材料 【0604】
非电气用缆索和金属线、网、带 【0605】
缆绳用非电气金属附件 【0606】
钉及标准紧固件 【0607】
家具及门窗的金属附件 【0608】
日用五金器具 【0609】
非电子锁 【0610】
保险箱柜，金属柜 【0611】
金属器具，金属硬件（非机器零件） 【0612】
金属容器 【0613】
金属标牌 【0614】
动物用金属制品 【0615】
焊接用金属材料（不包括塑料焊丝） 【0616】
锚，停船用金属浮动船坞，金属下锚桩 【0617】
手铐，医院用的金属身份证明手镯 【0618】
（测气象或风力的）金属浆叶，金属风标 【0619】
金属植物保护器 【0620】
捕野兽陷阱 【0621】
普通金属艺术品，青铜（艺术品） 【0622】
矿石，矿砂 【0623】
金属棺（埋葬用），金属棺材扣件，棺材用金属器材 【0624】
农业用机械及部件（不包括小农具） 【0701】
渔牧业用机械及器具 【0702】
伐木、锯木、木材加工及火柴生产用机械及器具 【0703】
造纸及加工纸制品工业用机械及器具 【0704】
印刷工业用机械及器具 【0705】
纤维加工及纺织、针织工业用机械及部件 【0706】
印染工业用机械 【0707】
制茶工业用机械 【0708】
食品业用机械及部件 【0709】
酿造、饮料工业用机械 【0710】
烟草工业用机械 【0711】
皮革工业用机械 【0712】
缝纫、制鞋工业用机械 【0713】
自行车工业用设备 【0714】
陶瓷、砖、瓦制造机械 【0715】
雕刻机 【0716】
制电池机械 【0717】
日用杂品加工机械 【0718】
制搪瓷机械 【0719】
制灯泡机械 【0720】
包装机械（不包括成套设备专用包装机械） 【0721】
民用煤加工机械 【0722】
厨房家用器具（不包括烹调、电气加热设备及厨房手工具） 【0723】
洗衣机 【0724】
制药工业用机械及部件 【0725】
橡胶、塑料工业机械 【0726】
玻璃工业用机械 【0727】
化肥设备 【0728】
其他化学工业用机械 【0729】
地质勘探、采矿、选矿用机械 【0730】
冶炼工业用设备 【0731】
石油开采、精炼工业用设备 【0732】
建筑、铁道、土木工程用机械 【0733】
起重运输机械 【0734】
锻压设备 【0735】
铸造机械 【0736】
蒸气动力设备 【0737】
内燃动力设备 【0738】
风力、水力动力设备 【0739】
制办公用针钉机械 【0740】
制钮扣拉链机械 【0741】
金属切削机床，切削工具和其他金属加工机械 【0742】
非手工操作的手工具 【0743】
静电、电子工业用设备 【0744】
光学工业用设备 【0745】
气体分离设备 【0746】
喷漆机具 【0747】
发电机、非陆地车辆用马达和引擎及其零部件 【0748】
泵，阀，气体压缩机，风机，液压元件，气动元件 【0749】
机器传动用联轴节，传动带及其他机器零部件 【0750】
焊接机械 【0751】
清洁、废物处理机械 【0752】
单一商品 【0753】
电镀设备 【0754】
手动研磨器具 【0801】
小农具（不包括农业、园艺用刀剪） 【0802】
林业、园艺用手工具 【0803】
畜牧业用手工具 【0804】
渔业用手工具 【0805】
理发工具，修指甲刀 【0806】
非动力手工具（不包括刀、剪） 【0807】
非动力手工器具 【0808】
专业用手工具 【0809】
刀剪（不包括机械刀片，文具刀） 【0810】
除火器外的随身武器 【0811】
餐具刀、叉、匙 【0812】
电子计算机及其外部设备 【0901】
记录、自动售货机和其他记数检测器 【0902】
其他办公用机械（不包括打字机、誉写机、油印机） 【0903】
衡器 【0904】
量具 【0905】
信号器具 【0906】
通讯导航设备 【0907】
音像设备 【0908】
摄影、电影用具及仪器 【0909】
